name,category,subcategory,color,secondary_colors,material,brand,size,description,warmth_level,formality,weather_suitability,season,tags
Navy Blue Oxford Shirt,tops,shirt,blue,"white,light blue",cotton,Brooks Brothers,M,Classic oxford button-down shirt in navy blue,2,4,"clear,overcast","spring,summer,fall","business,casual,versatile"
White Cotton T-Shirt,tops,t-shirt,white,,cotton,Uniqlo,M,Basic white cotton crew neck t-shirt,1,1,"clear,hot","spring,summer","casual,basic,everyday"
Black Wool Sweater,tops,sweater,black,,wool,J.Crew,M,Warm black merino wool pullover sweater,4,3,"cold,overcast","fall,winter","warm,cozy,versatile"
Khaki Chinos,bottoms,pants,beige,tan,cotton,Banana Republic,32x32,Smart casual khaki chino pants,2,3,"clear,mild","spring,summer,fall","business casual,versatile,smart"
Dark Blue Jeans,bottoms,jeans,blue,indigo,denim,Levi's,32x32,Classic dark wash straight-leg jeans,2,2,"clear,mild","spring,summer,fall,winter","casual,durable,everyday"
Black Dress Pants,bottoms,pants,black,,wool blend,Hugo Boss,32x32,Formal black wool blend dress pants,2,5,"clear,overcast","spring,summer,fall,winter","formal,business,professional"
Brown Leather Loafers,footwear,loafers,brown,,leather,Cole Haan,10,Classic brown leather penny loafers,2,3,"clear,overcast","spring,summer,fall","business casual,versatile,comfortable"
White Sneakers,footwear,sneakers,white,"gray,blue",synthetic,Adidas,10,Clean white athletic sneakers with blue accents,1,1,"clear,mild","spring,summer,fall","casual,athletic,comfortable"
Black Dress Shoes,footwear,dress shoes,black,,leather,Allen Edmonds,10,Formal black leather oxford dress shoes,2,5,"clear,overcast","spring,summer,fall,winter","formal,business,professional"
Navy Blazer,outerwear,blazer,blue,navy,wool,J.Crew,M,Navy blue wool blazer for business casual wear,3,4,"cool,overcast","spring,fall,winter","business,smart,versatile"
Gray Hoodie,outerwear,hoodie,gray,,cotton blend,Nike,M,Comfortable gray cotton blend pullover hoodie,3,1,"cool,mild","fall,winter,spring","casual,comfortable,athletic"
Black Leather Jacket,outerwear,jacket,black,,leather,Schott,M,Classic black leather motorcycle jacket,3,2,"cool,clear","fall,winter,spring","edgy,casual,stylish"
Beige Trench Coat,outerwear,coat,beige,tan,cotton blend,Burberry,M,Classic beige trench coat with belt,4,4,"rainy,cool","spring,fall","sophisticated,weather-resistant,timeless"
Red Plaid Flannel,tops,shirt,red,"black,white",cotton,Pendleton,M,Warm red and black plaid flannel shirt,3,2,"cool,cold","fall,winter","casual,warm,rugged"
Charcoal Suit Jacket,outerwear,blazer,gray,charcoal,wool,Hugo Boss,M,Formal charcoal gray wool suit jacket,3,5,"clear,overcast","spring,summer,fall,winter","formal,business,professional"
White Dress Shirt,tops,shirt,white,,cotton,Charles Tyrwhitt,M,Crisp white cotton dress shirt with French cuffs,2,5,"clear,overcast","spring,summer,fall,winter","formal,business,professional"
Olive Green Cargo Pants,bottoms,pants,green,olive,cotton twill,Carhartt,32x32,Durable olive green cargo pants with multiple pockets,2,1,"clear,mild","spring,summer,fall","casual,utilitarian,outdoor"
Brown Leather Belt,accessories,belt,brown,,leather,Coach,34,Classic brown leather dress belt with silver buckle,1,4,"clear,overcast","spring,summer,fall,winter","business,versatile,classic"
Black Leather Wallet,accessories,wallet,black,,leather,Bellroy,One Size,Slim black leather bifold wallet,1,3,"clear,overcast","spring,summer,fall,winter","everyday,practical,sleek"
Navy Wool Scarf,accessories,scarf,blue,navy,wool,Acne Studios,One Size,Soft navy blue wool scarf for cold weather,2,3,"cold,windy","fall,winter","warm,stylish,versatile"
Light Blue Chambray Shirt,tops,shirt,blue,light blue,cotton,J.Crew,M,Casual light blue chambray button-down shirt,2,2,"clear,mild","spring,summer","casual,relaxed,versatile"
Black Turtleneck,tops,sweater,black,,merino wool,Uniqlo,M,Slim-fit black merino wool turtleneck,3,3,"cool,cold","fall,winter","sleek,warm,minimal"
Burgundy Cardigan,tops,cardigan,red,burgundy,wool blend,Banana Republic,M,Burgundy wool blend button-up cardigan,3,3,"cool,mild","fall,winter,spring","layering,cozy,smart casual"
White Canvas Sneakers,footwear,sneakers,white,,canvas,Converse,10,Classic white canvas high-top sneakers,1,1,"clear,mild","spring,summer,fall","casual,retro,versatile"
Tan Suede Desert Boots,footwear,boots,tan,beige,suede,Clarks,10,Classic tan suede desert boots with crepe sole,2,2,"clear,dry","fall,winter,spring","casual,stylish,comfortable"
